ticker,form,filing_date,accession_number,primary_status,fallback_available,fallback_metrics_used,final_metrics_found,final_completeness_rate,final_status,extraction_strategy,requires_human_review,output_path,error
MRK,10-K,2026-02-24,0000310158-26-000063,partial,False,0,5,0.7143,partial,companyfacts_api,False,data\processed\sec_financials_final\MRK\10-K\0000310158-26-000063.json,
XOM,8-K,2026-07-07,0002115436-26-000003,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\XOM\8-K\0002115436-26-000003.json,
CVX,8-K,2026-05-29,0000093410-26-000125,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\CVX\8-K\0000093410-26-000125.json,
CVX,10-Q,2026-05-07,0000093410-26-000113,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\CVX\10-Q\0000093410-26-000113.json,
CVX,10-K,2026-02-24,0000093410-26-000078,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\CVX\10-K\0000093410-26-000078.json,
COP,8-K,2026-06-23,0001104659-26-076836,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\COP\8-K\0001104659-26-076836.json,
COP,10-Q,2026-04-30,0001163165-26-000018,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\COP\10-Q\0001163165-26-000018.json,
COP,10-K,2026-02-17,0001163165-26-000009,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\COP\10-K\0001163165-26-000009.json,
SLB,10-Q,2026-07-29,0001193125-26-322595,no_facts,True,5,5,0.7143,partial,companyfacts_plus_inline_xbrl,False,data\processed\sec_financials_final\SLB\10-Q\0001193125-26-322595.json,
SLB,8-K,2026-07-24,0001193125-26-315068,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\SLB\8-K\0001193125-26-315068.json,
SLB,10-K,2026-01-23,0001193125-26-021017,partial,False,0,5,0.7143,partial,companyfacts_api,False,data\processed\sec_financials_final\SLB\10-K\0001193125-26-021017.json,
EOG,8-K,2026-07-09,0000821189-26-000140,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\EOG\8-K\0000821189-26-000140.json,
EOG,10-Q,2026-05-05,0000821189-26-000104,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\EOG\10-Q\0000821189-26-000104.json,
EOG,10-K,2026-02-24,0000821189-26-000054,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\EOG\10-K\0000821189-26-000054.json,
CAT,8-K,2026-06-11,0001104659-26-072929,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\CAT\8-K\0001104659-26-072929.json,
CAT,10-Q,2026-05-06,0000018230-26-000021,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\CAT\10-Q\0000018230-26-000021.json,
CAT,10-K,2026-02-13,0000018230-26-000008,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\CAT\10-K\0000018230-26-000008.json,
BA,10-Q,2026-07-28,0001628280-26-050038,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\BA\10-Q\0001628280-26-050038.json,
BA,8-K,2026-07-28,0001628280-26-049929,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\BA\8-K\0001628280-26-049929.json,
BA,10-K,2026-01-30,0001628280-26-004357,complete,False,0,7,1.0,complete,companyfacts_api,False,data\processed\sec_financials_final\BA\10-K\0001628280-26-004357.json,
GE,10-Q,2026-07-16,0000040545-26-000049,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\GE\10-Q\0000040545-26-000049.json,
GE,8-K,2026-07-16,0000040545-26-000047,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\GE\8-K\0000040545-26-000047.json,
GE,10-K,2026-01-29,0000040545-26-000008,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\GE\10-K\0000040545-26-000008.json,
UPS,8-K,2026-07-28,0001628280-26-049912,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\UPS\8-K\0001628280-26-049912.json,
UPS,10-Q,2026-05-06,0001628280-26-031154,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\UPS\10-Q\0001628280-26-031154.json,
UPS,10-K,2026-02-17,0001628280-26-008432,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\UPS\10-K\0001628280-26-008432.json,
T,8-K,2026-07-28,0001193125-26-321053,no_facts,False,0,0,0.0,no_facts,companyfacts_api,False,data\processed\sec_financials_final\T\8-K\0001193125-26-321053.json,
T,10-Q,2026-07-22,0000732717-26-000297,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\T\10-Q\0000732717-26-000297.json,
T,10-K,2026-02-09,0000732717-26-000120,partial,False,0,6,0.8571,partial,companyfacts_api,False,data\processed\sec_financials_final\T\10-K\0000732717-26-000120.json,
