quality,document_type,field_name,field_kind,field_predictions,exact_match_rate,mean_similarity,median_similarity,mean_ocr_confidence,empty_prediction_rate,high_similarity_mismatch_rate,priority_score
mild,1099_nec,payer_city,text,44,0.5682,86.09,100.0,86.31,0.0,0.0909,0.2792
mild,w2,medicare_wages,money,37,0.5946,86.74,100.0,66.54,0.0,0.1081,0.2628
mild,1099_nec,state_tax_withheld,money,44,0.6136,84.52,100.0,43.73,0.0,0.1818,0.259
mild,1099_nec,recipient_city,text,44,0.6818,91.24,100.0,87.01,0.0,0.1136,0.2013
mild,1099_nec,account_number,identifier,44,0.7045,91.49,100.0,37.33,0.0,0.1818,0.1881
mild,w2,medicare_tax_withheld,money,37,0.7027,93.77,100.0,77.39,0.0,0.1351,0.1822
mild,1099_nec,federal_income_tax_withheld,text,44,0.7955,96.25,100.0,70.87,0.0,0.1364,0.1237
mild,1099_nec,recipient_name,text,44,0.8864,95.32,100.0,84.14,0.0,0.0227,0.0765
mild,1099_nec,recipient_tin,identifier,44,0.8864,99.33,100.0,87.16,0.0,0.1136,0.0645
mild,1099_nec,payer_street,text,44,0.9091,99.66,100.0,92.89,0.0,0.0909,0.051
mild,1099_nec,recipient_street,text,44,0.9091,99.71,100.0,93.24,0.0,0.0909,0.0509
mild,1099_nec,nonemployee_compensation,money,44,0.9318,95.88,100.0,75.73,0.0,0.0,0.0499
mild,1099_nec,payer_name,text,44,0.9545,98.66,100.0,88.89,0.0,0.0227,0.029
mild,1099_nec,payer_tin,identifier,44,0.9545,99.63,100.0,87.89,0.0,0.0455,0.0261
mild,w2,employee_first_name,text,37,1.0,100.0,100.0,90.42,0.0,0.0,0.0
mild,w2,employee_last_name,text,37,1.0,100.0,100.0,95.76,0.0,0.0,0.0
