quality,document_type,field_name,field_kind,field_predictions,exact_match_rate,mean_similarity,median_similarity,mean_ocr_confidence,empty_prediction_rate,high_similarity_mismatch_rate,priority_score
mild,w2,medicare_wages,money,37,0.3784,60.53,77.78,31.09,0.1892,0.1081,0.4887
mild,w2,federal_tax_withheld,money,37,0.2432,80.19,87.5,30.94,0.027,0.3784,0.4797
mild,w2,state,state,37,0.4865,58.56,66.67,18.11,0.2162,0.0,0.4392
mild,w2,social_security_wages,money,37,0.2973,84.02,94.12,49.81,0.0,0.4595,0.4344
mild,w2,control_number,identifier,37,0.4865,56.11,86.96,4.89,0.0541,0.027,0.4222
mild,w2,wages,money,37,0.3514,79.02,87.5,14.18,0.0,0.2703,0.4197
mild,1099_nec,state_income,money,44,0.3864,82.95,94.74,1.52,0.0682,0.4318,0.3989
mild,w2,state_wages,money,37,0.4595,75.02,88.89,24.38,0.1351,0.2432,0.3925
mild,w2,social_security_tax_withheld,money,37,0.5676,84.71,100.0,49.41,0.027,0.1622,0.2877
mild,1099_nec,recipient_city,text,44,0.6591,79.61,100.0,65.42,0.1136,0.1136,0.2657
mild,w2,medicare_tax_withheld,money,37,0.5946,92.3,100.0,64.89,0.0,0.2703,0.2461
mild,1099_nec,account_number,identifier,44,0.6818,85.83,100.0,30.85,0.0682,0.1818,0.2278
mild,1099_nec,recipient_name,text,44,0.75,86.69,100.0,64.66,0.0227,0.0909,0.1808
mild,1099_nec,payer_name,text,44,0.75,88.19,100.0,76.37,0.0455,0.1364,0.1798
mild,1099_nec,nonemployee_compensation,money,44,0.8182,84.71,100.0,64.58,0.1364,0.0227,0.1663
mild,1099_nec,recipient_street,text,44,0.8409,93.31,100.0,83.48,0.0455,0.0909,0.1144
mild,1099_nec,recipient_tin,identifier,44,0.8182,98.94,100.0,80.66,0.0,0.1818,0.1032
mild,1099_nec,payer_city,text,44,0.9318,99.56,100.0,87.11,0.0,0.0682,0.0388
mild,1099_nec,payer_street,text,44,0.9318,99.73,100.0,94.5,0.0,0.0682,0.0383
mild,1099_nec,payer_tin,identifier,44,0.9773,97.73,100.0,87.76,0.0227,0.0,0.0227
mild,w2,employee_first_name,text,37,1.0,100.0,100.0,87.02,0.0,0.0,0.0
mild,w2,employee_last_name,text,37,1.0,100.0,100.0,95.78,0.0,0.0,0.0
