ticker,company_name,sector,cik,form,filing_date,report_date,accession_number,source_url,local_path
JNJ,JOHNSON & JOHNSON,Healthcare,0000200406,10-Q,2026-07-23,2026-06-28,0000200406-26-000153,https://www.sec.gov/Archives/edgar/data/200406/000020040626000153/jnj-20260628.htm,data\raw\sec_filings\JNJ\filings\10-Q\2026-07-23_0000200406-26-000153_jnj-20260628.htm
JNJ,JOHNSON & JOHNSON,Healthcare,0000200406,10-K,2026-02-11,2025-12-28,0000200406-26-000016,https://www.sec.gov/Archives/edgar/data/200406/000020040626000016/jnj-20251228.htm,data\raw\sec_filings\JNJ\filings\10-K\2026-02-11_0000200406-26-000016_jnj-20251228.htm
PFE,PFIZER INC,Healthcare,0000078003,8-K,2026-06-18,2026-06-18,0000078003-26-000087,https://www.sec.gov/Archives/edgar/data/78003/000007800326000087/pfe-20260618.htm,data\raw\sec_filings\PFE\filings\8-K\2026-06-18_0000078003-26-000087_pfe-20260618.htm
PFE,PFIZER INC,Healthcare,0000078003,10-Q,2026-05-05,2026-03-29,0000078003-26-000054,https://www.sec.gov/Archives/edgar/data/78003/000007800326000054/pfe-20260329.htm,data\raw\sec_filings\PFE\filings\10-Q\2026-05-05_0000078003-26-000054_pfe-20260329.htm
PFE,PFIZER INC,Healthcare,0000078003,10-K,2026-02-26,2025-12-31,0000078003-26-000026,https://www.sec.gov/Archives/edgar/data/78003/000007800326000026/pfe-20251231.htm,data\raw\sec_filings\PFE\filings\10-K\2026-02-26_0000078003-26-000026_pfe-20251231.htm
UNH,UNITEDHEALTH GROUP INC,Healthcare,0000731766,8-K,2026-07-16,2026-07-16,0000731766-26-000191,https://www.sec.gov/Archives/edgar/data/731766/000073176626000191/unh-20260716.htm,data\raw\sec_filings\UNH\filings\8-K\2026-07-16_0000731766-26-000191_unh-20260716.htm
UNH,UNITEDHEALTH GROUP INC,Healthcare,0000731766,10-Q,2026-05-05,2026-03-31,0000731766-26-000127,https://www.sec.gov/Archives/edgar/data/731766/000073176626000127/unh-20260331.htm,data\raw\sec_filings\UNH\filings\10-Q\2026-05-05_0000731766-26-000127_unh-20260331.htm
UNH,UNITEDHEALTH GROUP INC,Healthcare,0000731766,10-K,2026-03-02,2025-12-31,0000731766-26-000062,https://www.sec.gov/Archives/edgar/data/731766/000073176626000062/unh-20251231.htm,data\raw\sec_filings\UNH\filings\10-K\2026-03-02_0000731766-26-000062_unh-20251231.htm
ABT,ABBOTT LABORATORIES,Healthcare,0000001800,10-Q,2026-07-28,2026-06-30,0001628280-26-050134,https://www.sec.gov/Archives/edgar/data/1800/000162828026050134/abt-20260630.htm,data\raw\sec_filings\ABT\filings\10-Q\2026-07-28_0001628280-26-050134_abt-20260630.htm
ABT,ABBOTT LABORATORIES,Healthcare,0000001800,8-K,2026-07-16,2026-07-16,0001628280-26-048377,https://www.sec.gov/Archives/edgar/data/1800/000162828026048377/abt-20260716.htm,data\raw\sec_filings\ABT\filings\8-K\2026-07-16_0001628280-26-048377_abt-20260716.htm
ABT,ABBOTT LABORATORIES,Healthcare,0000001800,10-K,2026-02-20,2025-12-31,0001628280-26-010185,https://www.sec.gov/Archives/edgar/data/1800/000162828026010185/abt-20251231.htm,data\raw\sec_filings\ABT\filings\10-K\2026-02-20_0001628280-26-010185_abt-20251231.htm
MRK,"Merck & Co., Inc.",Healthcare,0000310158,8-K,2026-05-28,2026-05-26,0001104659-26-067509,https://www.sec.gov/Archives/edgar/data/310158/000110465926067509/tm2615833d1_8k.htm,data\raw\sec_filings\MRK\filings\8-K\2026-05-28_0001104659-26-067509_tm2615833d1_8k.htm
MRK,"Merck & Co., Inc.",Healthcare,0000310158,10-Q,2026-05-04,2026-03-31,0001628280-26-029802,https://www.sec.gov/Archives/edgar/data/310158/000162828026029802/mrk-20260331.htm,data\raw\sec_filings\MRK\filings\10-Q\2026-05-04_0001628280-26-029802_mrk-20260331.htm
MRK,"Merck & Co., Inc.",Healthcare,0000310158,10-K,2026-02-24,2025-12-31,0000310158-26-000063,https://www.sec.gov/Archives/edgar/data/310158/000031015826000063/mrk-20251231.htm,data\raw\sec_filings\MRK\filings\10-K\2026-02-24_0000310158-26-000063_mrk-20251231.htm
XOM,ExxonMobil Holdings Corp,Energy,0002115436,8-K,2026-07-07,2026-07-07,0002115436-26-000003,https://www.sec.gov/Archives/edgar/data/2115436/000211543626000003/xom-20260707.htm,data\raw\sec_filings\XOM\filings\8-K\2026-07-07_0002115436-26-000003_xom-20260707.htm
CVX,CHEVRON CORP,Energy,0000093410,8-K,2026-05-29,2026-05-27,0000093410-26-000125,https://www.sec.gov/Archives/edgar/data/93410/000009341026000125/cvx-20260527.htm,data\raw\sec_filings\CVX\filings\8-K\2026-05-29_0000093410-26-000125_cvx-20260527.htm
